PCS-ID,Title,DOI,Year,DOI URL
1349,Automatic Semantic Alignment of Flow Pattern Representations for Exploration with Large Language Models,10.vis2025/1349,2025,https://doi.org/10.vis2025/1349
1351,StressDiffVis: Visual Analytics for Multi-Model Stress Comparison,10.vis2025/1351,2025,https://doi.org/10.vis2025/1351
1367,Stitching Meaning: Practices of Data Textile Creators,10.vis2025/1367,2025,https://doi.org/10.vis2025/1367
1399,HypoChainer: A Collaborative System Combining LLMs and Knowledge Graphs for Hypothesis-Driven Scientific Discovery,10.vis2025/1399,2025,https://doi.org/10.vis2025/1399
1406,An Autoethnography on Visualization Literacy: A Wicked Measurement Problem,10.vis2025/1406,2025,https://doi.org/10.vis2025/1406
1411,VisAnatomy: An SVG Chart Corpus with Fine-Grained Semantic Labels,10.vis2025/1411,2025,https://doi.org/10.vis2025/1411
1416,VisMoDAl: Visual Analytics for Evaluating and Improving Corruption Robustness of Vision-Language Models,10.vis2025/1416,2025,https://doi.org/10.vis2025/1416
1426,Understanding Aortic Dissection Hemodynamics: Evaluating Adapted Smoke Surfaces Against Streakline-Based Techniques,10.vis2025/1426,2025,https://doi.org/10.vis2025/1426
1431,Mixture of Cluster-guided Experts for Retrieval-Augmented Label Placement,10.vis2025/1431,2025,https://doi.org/10.vis2025/1431
1432,Cluster-Based Random Forest Visualization and Interpretation,10.vis2025/1432,2025,https://doi.org/10.vis2025/1432
1440,BondMatcher: H-Bond Stability Analysis in Molecular Systems,10.vis2025/1440,2025,https://doi.org/10.vis2025/1440
1444,NLI4VolVis: Natural Language Interaction for Volume Visualization via LLM Multi-Agents and Editable 3D Gaussian Splatting,10.vis2025/1444,2025,https://doi.org/10.vis2025/1444
1446,"Your Model Is Unfair, Are You Even Aware? Inverse Relationship Between Comprehension and Trust in Explainability Visualizations of Biased ML Models",10.vis2025/1446,2025,https://doi.org/10.vis2025/1446
1455,F-Hash: Feature-Based Hash Design for Time-Varying Volume Visualization via Multi-Resolution Tesseract Encoding,10.vis2025/1455,2025,https://doi.org/10.vis2025/1455
1468,From Vision to Touch: Bridging Visual and Tactile Principles for Accessible Data Representation,10.vis2025/1468,2025,https://doi.org/10.vis2025/1468
1490,Tell Me Without Telling Me: Two-Way Prediction of Visualization Literacy and Visual Attention,10.vis2025/1490,2025,https://doi.org/10.vis2025/1490
1495,Evaluating judgements of spatial correlation in visual displays of scalar field distributions,10.vis2025/1495,2025,https://doi.org/10.vis2025/1495
1497,Beyond Log Scales: Toward Cognitively Informed Bar Charts for Orders of Magnitude Values,10.vis2025/1497,2025,https://doi.org/10.vis2025/1497
1506,What is the Color of Serendipity? Investigating the Use of Language Models for Semantically Resonant Color Generation,10.vis2025/1506,2025,https://doi.org/10.vis2025/1506
1507,"Write, Rank, or Rate: Comparing Methods for Studying Visualization Affordances",10.vis2025/1507,2025,https://doi.org/10.vis2025/1507
1508,"""They Aren't Built For Me"": An Exploratory Study of Strategies for Measurement of Graphical Primitives in Tactile Graphics",10.vis2025/1508,2025,https://doi.org/10.vis2025/1508
1512,GALE: Leveraging Heterogeneous Systems for Efficient Unstructured Mesh Data Analysis,10.vis2025/1512,2025,https://doi.org/10.vis2025/1512
1514,Using Tactile Charts to Support Comprehension and Learning of Complex Visualizations for Blind and Low Vision Individuals,10.vis2025/1514,2025,https://doi.org/10.vis2025/1514
1516,Story Ribbons: Reimagining Storyline Visualizations with Large Language Models,10.vis2025/1516,2025,https://doi.org/10.vis2025/1516
1535,VolSegGS: Segmentation and Tracking in Dynamic Volumetric Scenes via Deformable 3D Gaussians,10.vis2025/1535,2025,https://doi.org/10.vis2025/1535
1548,"""It looks sexy but it's wrong.'' Tensions in creativity and accuracy using genAI for biomedical visualization",10.vis2025/1548,2025,https://doi.org/10.vis2025/1548
1550,Algorithmically-Assisted Schematic Transit Map Design: A System and Algorithmic Core for Fast Layout Iteration,10.vis2025/1550,2025,https://doi.org/10.vis2025/1550
1557,Set Size Matters: Capacity-Limited Perception of Grouped Spatial-Frequency Glyphs,10.vis2025/1557,2025,https://doi.org/10.vis2025/1557
1558,OwnershipTracker: A Visual Analytics Approach to Uncovering Historical Book Ownership Patterns,10.vis2025/1558,2025,https://doi.org/10.vis2025/1558
1566,Characterizing Visualization Perception with Psychological Phenomena: Uncovering the Role of Subitizing in Data Visualization,10.vis2025/1566,2025,https://doi.org/10.vis2025/1566
1567,Envisage: Towards Expressive Visual Graph Querying,10.vis2025/1567,2025,https://doi.org/10.vis2025/1567
1584,Collaborating Across Domains and Roles: An Interview Study of Visualization Design Practices,10.vis2025/1584,2025,https://doi.org/10.vis2025/1584
1587,F^2Stories: A Modular Framework for Multi-Objective Optimization of Storylines with a Focus on Fairness,10.vis2025/1587,2025,https://doi.org/10.vis2025/1587
1590,EncQA: Benchmarking Vision-Language Models on Visual Encodings for Charts,10.vis2025/1590,2025,https://doi.org/10.vis2025/1590
1593,PixelatedScatter: Arbitrary-level Visual Abstraction for Large-scale Multiclass Scatterplots,10.vis2025/1593,2025,https://doi.org/10.vis2025/1593
1598,Neighbourhood-Preserving Voronoi Treemaps,10.vis2025/1598,2025,https://doi.org/10.vis2025/1598
1602,Shifting Expectations for Encoding Rules Mitigates Misinterpretation of Connected Scatterplots,10.vis2025/1602,2025,https://doi.org/10.vis2025/1602
1611,An Analysis of Text Functions in Information Visualization,10.vis2025/1611,2025,https://doi.org/10.vis2025/1611
1614,Reframing Pattern: A Comprehensive Approach to a Composite Visual Variable,10.vis2025/1614,2025,https://doi.org/10.vis2025/1614
1622,CrossSet: Unveiling the Complex Interplay of Two Set-typed Dimensions in Multivariate Data,10.vis2025/1622,2025,https://doi.org/10.vis2025/1622
1626,"VizGenie: Toward Self-Refining, Domain-Aware Workflows for Next-Generation Scientific Visualization",10.vis2025/1626,2025,https://doi.org/10.vis2025/1626
1627,Perceiving Slope and Acceleration: Evidence for Variable Tempo Sampling in Pitch-Based Sonification of Functions,10.vis2025/1627,2025,https://doi.org/10.vis2025/1627
1641,"GhostUMAP2: Measuring and Analyzing (r,d)-Stability of UMAP",10.vis2025/1641,2025,https://doi.org/10.vis2025/1641
1643,RelMap: Reliable Spatiotemporal Sensor Data Visualization via Imputative Spatial Interpolation,10.vis2025/1643,2025,https://doi.org/10.vis2025/1643
1645,Interactive Hybrid Rice Breeding with Parametric Dual Projection,10.vis2025/1645,2025,https://doi.org/10.vis2025/1645
1663,EventBox: A Novel Visual Encoding for Interactive Analysis of Temporal and Multivariate Attributes in Event Sequences,10.vis2025/1663,2025,https://doi.org/10.vis2025/1663
1666,Deconstructing Implicit Beliefs in Visual Data Journalism: Unstable Meanings Behind Data as Truth & Design for Insight,10.vis2025/1666,2025,https://doi.org/10.vis2025/1666
1682,Affective color scales for colormap data visualizations,10.vis2025/1682,2025,https://doi.org/10.vis2025/1682
1683,A Multimodal Framework for Understanding Collaborative Design Processes,10.vis2025/1683,2025,https://doi.org/10.vis2025/1683
1695,Correcting Misperceptions at a Glance: Using Data Visualizations to Reduce Political Sectarianism,10.vis2025/1695,2025,https://doi.org/10.vis2025/1695
1698,Motif Simplification for BioFabric Network Visualizations: Improving Pattern Recognition and Interpretation,10.vis2025/1698,2025,https://doi.org/10.vis2025/1698
1700,MoMo - Combining Neuron Morphology and Connectivity for Interactive Motif Analysis in Connectomes,10.vis2025/1700,2025,https://doi.org/10.vis2025/1700
1701,Understanding Large Language Model Behaviors through Interactive Counterfactual Generation and Analysis,10.vis2025/1701,2025,https://doi.org/10.vis2025/1701
1718,SynAnno: Interactive Guided Proofreading of Synaptic Annotations,10.vis2025/1718,2025,https://doi.org/10.vis2025/1718
1729,FlowForge: Guiding the Creation of Multi-agent Workflows with Interactive Visualizations as a Thinking Scaffold,10.vis2025/1729,2025,https://doi.org/10.vis2025/1729
1732,Beyond the Broadcast: Enhancing VR Tennis Broadcasting through Embedded Visualizations and Camera Techniques,10.vis2025/1732,2025,https://doi.org/10.vis2025/1732
1737,Critical Design Strategy: a Method for Heuristically Evaluating Visualisation Designs,10.vis2025/1737,2025,https://doi.org/10.vis2025/1737
1740,"Probing the Visualization Literacy of Vision Language Models: the Good, the Bad, and the Ugly",10.vis2025/1740,2025,https://doi.org/10.vis2025/1740
1747,Embodied Natural Language Interaction (NLI): Speech Input Patterns in Immersive Analytics,10.vis2025/1747,2025,https://doi.org/10.vis2025/1747
1755,The Hue-Man Factor: An Empirical Evaluation of Visualization Perception and Accessibility Across Color Vision Profiles,10.vis2025/1755,2025,https://doi.org/10.vis2025/1755
1770,Sel3DCraft: Interactive Visual Prompts for User-Friendly Text-to-3D Generation,10.vis2025/1770,2025,https://doi.org/10.vis2025/1770
1773,ClimateSOM: A Visual Analysis Workflow for Climate Ensemble Datasets,10.vis2025/1773,2025,https://doi.org/10.vis2025/1773
1774,OW-CLIP: Data-Efficient Visual Supervision for Open-World Object Detection via Human-AI Collaboration,10.vis2025/1774,2025,https://doi.org/10.vis2025/1774
1777,ReVISit 2: A Full Experiment Life Cycle User Study Framework,10.vis2025/1777,2025,https://doi.org/10.vis2025/1777
1781,DKMap: Interactive Exploration of Vision-Language Alignment in Multimodal Embeddings via Dynamic Kernel Enhanced Projection,10.vis2025/1781,2025,https://doi.org/10.vis2025/1781
1782,CD-TVD:Contrastive Diffusion for 3D Super-Resolution with Scarce High-Resolution Time-Varying Data,10.vis2025/1782,2025,https://doi.org/10.vis2025/1782
1785,Here's what you need to know about my data: Exploring Expert Knowledge's Role in Data Analysis,10.vis2025/1785,2025,https://doi.org/10.vis2025/1785
1787,An Intelligent Interactive Visual Analytics System for Exploring Large and Multi-Scale Pathology Images,10.vis2025/1787,2025,https://doi.org/10.vis2025/1787
1789,The Impact of Visual Segmentation on Lexical Word Recognition,10.vis2025/1789,2025,https://doi.org/10.vis2025/1789
1817,Exploring 3D Unsteady Flow using 6D Observer Space Interactions,10.vis2025/1817,2025,https://doi.org/10.vis2025/1817
1818,DeepVIS: Bridging Natural Language and Data Visualization Through Step-wise Reasoning,10.vis2025/1818,2025,https://doi.org/10.vis2025/1818
1838,Uncertainty-Aware PCA Revisited,10.vis2025/1838,2025,https://doi.org/10.vis2025/1838
1844,Visualization Badges: Communicating Design and Provenance through Graphical Labels Alongside Visualizations,10.vis2025/1844,2025,https://doi.org/10.vis2025/1844
1863,Enhancing Data Visualization Literacy: A Comparative Study of Learning Materials in Schools,10.vis2025/1863,2025,https://doi.org/10.vis2025/1863
1893,EmbryoProfiler: A Visual Clinical Decision Support System for IVF,10.vis2025/1893,2025,https://doi.org/10.vis2025/1893
1897,TactiVis: Towards Better Understanding of Team-based Combat Tactics,10.vis2025/1897,2025,https://doi.org/10.vis2025/1897
1905,Can LLMs Bridge Domain and Visualization? A Case Study on High-Dimension Data Visualization in Single-Cell Transcriptomics,10.vis2025/1905,2025,https://doi.org/10.vis2025/1905
1919,Quantifying Visualization Complexity Using Image-Quality Metrics,10.vis2025/1919,2025,https://doi.org/10.vis2025/1919
1929,TFZ: Topology-Preserving Compression of 2D Symmetric and Asymmetric Second-Order Tensor Fields,10.vis2025/1929,2025,https://doi.org/10.vis2025/1929
1930,TiVy: Time Series Visual Summary for Scalable Visualization,10.vis2025/1930,2025,https://doi.org/10.vis2025/1930
1933,Graphical Perception of Icon Arrays versus Bar Charts for Value Comparisons in Health Risk Communication,10.vis2025/1933,2025,https://doi.org/10.vis2025/1933
1934,StreetWeave: A Declarative Grammar for Street-Overlaid Visualization of Multivariate Data,10.vis2025/1934,2025,https://doi.org/10.vis2025/1934
1936,SEAL: Spatially-resolved Embedding Analysis with Linked Imaging Data,10.vis2025/1936,2025,https://doi.org/10.vis2025/1936
1938,Urbanite: A Dataflow-Based Framework for Human-AI Interactive Alignment in Urban Visual Analytics,10.vis2025/1938,2025,https://doi.org/10.vis2025/1938
1971,Beyond Problem Solving: Framing and Problem Solution Co-Evolution in Data Visualization Design,10.vis2025/1971,2025,https://doi.org/10.vis2025/1971
1997,Charts-of-Thought: Enhancing LLM Visualization Literacy Through Structured Data Extraction,10.vis2025/1997,2025,https://doi.org/10.vis2025/1997
1999,"MisVisFix: An Interactive Dashboard for Detecting, Explaining, and Correcting Misleading Visualizations using Large Language Models",10.vis2025/1999,2025,https://doi.org/10.vis2025/1999
2001,VA-Blueprint: Uncovering Building Blocks for Visual Analytics System Design,10.vis2025/2001,2025,https://doi.org/10.vis2025/2001
2004,Interactive Composition Operators: An Alternative Approach for Selecting Linear Embedding Parameters,10.vis2025/2004,2025,https://doi.org/10.vis2025/2004
2006,PiCCL: Data-Driven Mark Composition of Bespoke Pictorial Chart,10.vis2025/2006,2025,https://doi.org/10.vis2025/2006
2050,Natural Language-Driven Viewpoint Navigation for Volume Exploration via Semantic Block Representation,10.vis2025/2050,2025,https://doi.org/10.vis2025/2050
2057,Visual Analytics Using Tensor Unified Linear Comparative Analysis,10.vis2025/2057,2025,https://doi.org/10.vis2025/2057
2070,A Rigorous Behavior Assessment of CNNs Using a Data-Domain Sampling Regime,10.vis2025/2070,2025,https://doi.org/10.vis2025/2070
