conf. year,journal,journal year,journal vol,title,doi,doi link
2019,C&G,2020,92,Interactive visual exploration of metabolite ratios in MR spectroscopy studies,10.1016/j.cag.2020.08.001,https://doi.org/10.1016/j.cag.2020.08.001
2020,C&G,2021,97,PREVIS: Predictive visual analytics of anatomical variability for radiotherapy decision support,10.1016/j.cag.2021.04.010,https://doi.org/10.1016/j.cag.2021.04.010
2020,C&G,2021,98,InShaDe: Invariant Shape Descriptors for visual 2D and 3D cellular and nuclear shape analysis and classification,10.1016/j.cag.2021.04.037,https://doi.org/10.1016/j.cag.2021.04.037
2020,C&G,2021,98,Interactive analysis for large volume data from fluorescence microscopy at cellular precision,10.1016/j.cag.2021.05.006,https://doi.org/10.1016/j.cag.2021.05.006
2020,C&G,2021,98,Aneulysis – A system for the visual analysis of aneurysm data,10.1016/j.cag.2021.06.001,https://doi.org/10.1016/j.cag.2021.06.001
2020,C&G,2021,98,Estimating depth information of vascular models: A comparative user study between a virtual reality and a desktop application,10.1016/j.cag.2021.05.014,https://doi.org/10.1016/j.cag.2021.05.014
2020,C&G,2021,99,iVRoad: Immersive virtual road crossing as an assessment tool for unilateral spatial neglect,10.1016/j.cag.2021.06.013,https://doi.org/10.1016/j.cag.2021.06.013
2020,C&G,2021,99,Analyzing the similarity of protein domains by clustering Molecular Surface Maps,10.1016/j.cag.2021.06.007,https://doi.org/10.1016/j.cag.2021.06.007
2020,C&G,2021,99,A collaborative virtual reality environment for liver surgery planning,10.1016/j.cag.2021.07.009,https://doi.org/10.1016/j.cag.2021.07.009
2020,C&G,2021,99,inCCsight: A software for exploration and visualization of DT-MRI data of the Corpus Callosum,10.1016/j.cag.2021.07.012,https://doi.org/10.1016/j.cag.2021.07.012
2021,C&G,2022,105,Spatial-data-driven layouting for brain network visualization,10.1016/j.cag.2022.04.014,https://doi.org/10.1016/j.cag.2022.04.014
2021,C&G,2022,107,Narrative medical visualization to communicate disease data,10.1016/j.cag.2022.07.017,https://doi.org/10.1016/j.cag.2022.07.017
2021,C&G,2022,107,Longitudinal visualization for exploratory analysis of multiple sclerosis lesions,10.1016/j.cag.2022.07.023,https://doi.org/10.1016/j.cag.2022.07.023
2021,C&G,2022,108,FluxomicsExplorer: Differential visual analysis of Flux Sampling based on Metabolomics,10.1016/j.cag.2022.08.008,https://doi.org/10.1016/j.cag.2022.08.008
2022,C&G,2023,111,Uncertainty guidance in proton therapy planning visualization,10.1016/j.cag.2023.02.002,https://doi.org/10.1016/j.cag.2023.02.002
2022,C&G,2023,114,Learning the degradation distribution for medical image superresolution via sparse swin transformer,10.1016/j.cag.2023.06.003,https://doi.org/10.1016/j.cag.2023.06.003
2022,C&G,2023,114,Enhancing molecular visualization: Perceptual evaluation of line variables with application to uncertainty visualization,10.1016/j.cag.2023.06.006,https://doi.org/10.1016/j.cag.2023.06.006
2022,C&G,2023,114,Investigating user behavior in slideshows and scrollytelling as narrative genres in medical visualization,10.1016/j.cag.2023.06.011,https://doi.org/10.1016/j.cag.2023.06.011
2022,C&G,2023,116,Multiscale progressive text prompt network for medical image segmentation,10.1016/j.cag.2023.08.030,https://doi.org/10.1016/j.cag.2023.08.030
2023,C&G,2024,122,"DynBioSketch: A tool for sketching dynamic visual summaries in biology, and its application to infection phenomena",10.1016/j.cag.2024.103956,https://doi.org/10.1016/j.cag.2024.103956
2023,C&G,2024,123,Visual narratives to edutain against misleading visualizations in healthcare,10.1016/j.cag.2024.104011,https://doi.org/10.1016/j.cag.2024.104011
2023,C&G,2024,123,Visually communicating pathological changes: A case study on the effectiveness of phong versus outline shading,10.1016/j.cag.2024.104023,https://doi.org/10.1016/j.cag.2024.104023
2024,C&G,2024,124,Interactive data comics for communicating medical data to the general public: A study of engagement and ease of understanding,10.1016/j.cag.2024.104055,https://doi.org/10.1016/j.cag.2024.104055
2024,C&G,2024,124,Analyzing the effect of undermining on suture forces during simulated skin flap surgeries with a three-dimensional finite element method,10.1016/j.cag.2024.104057,https://doi.org/10.1016/j.cag.2024.104057
2024,C&G,2024,124,Virtual reality inspection of chromatin 3D and 2D data,10.1016/j.cag.2024.104059,https://doi.org/10.1016/j.cag.2024.104059
2024,C&G,2024,124,Advanced visualization of aortic dissection anatomy and hemodynamics,10.1016/j.cag.2024.104060,https://doi.org/10.1016/j.cag.2024.104060
2024,C&G,2024,124,US-Net: U-shaped network with Convolutional Attention Mechanism for ultrasound medical images,10.1016/j.cag.2024.104054,https://doi.org/10.1016/j.cag.2024.104054
2024,C&G,2024,124,Synthetic surface mesh generation of aortic dissections using statistical shape modeling,10.1016/j.cag.2024.104070,https://doi.org/10.1016/j.cag.2024.104070
2024,C&G,2024,124,Voice user interfaces for effortless navigation in medical virtual reality environments,10.1016/j.cag.2024.104069,https://doi.org/10.1016/j.cag.2024.104069
2024,C&G,2024,,SHAPE: A visual computing pipeline for interactive landmarking of 3D photograms and patient reporting for assessing craniosynostosis,10.1016/j.cag.2024.104056,https://doi.org/10.1016/j.cag.2024.104056
